pedido_id,data_pedido,horario_pedido,restaurante,categoria,cidade,valor_pedido,tempo_entrega_min,avaliacao,metodo_pagamento,status
1,2026-06-13,11:01,Cantinho da Massa,Massas,Eusébio,55.71,62.0,1.0,Cartão de crédito,Entregue
2,2026-01-09,10:05,Sushi Fortaleza,Sushi,Eusébio,100.86,16.0,5.0,Cartão de débito,Entregue
3,2026-06-29,18:26,Sushi Fortaleza,Sushi,Maracanaú,114.28,66.0,1.0,Cartão de débito,Entregue
4,2026-03-29,14:09,Sushi Fortaleza,Sushi,Caucaia,36.35,39.0,1.0,Pix,Entregue
5,2026-06-04,14:51,Sabor Nordestino,Brasileira,Maracanaú,105.8,39.0,1.0,Pix,Entregue
6,2026-06-08,23:23,Sushi Fortaleza,Sushi,Fortaleza,27.33,29.0,3.0,Cartão de crédito,Entregue
7,2026-01-26,16:17,Açaí Tropical,Açaí,Caucaia,46.02,37.0,2.0,Pix,Entregue
8,2026-06-24,20:04,Burger House,Hambúrguer,Eusébio,46.14,39.0,3.0,Cartão de débito,Entregue
9,2026-01-15,13:52,Sabor Nordestino,Brasileira,Caucaia,84.19,19.0,2.0,Pix,Entregue
10,2026-05-08,16:56,Açaí Tropical,Açaí,Eusébio,62.38,30.0,5.0,Pix,Entregue
11,2026-04-20,19:25,Churrasco & Cia,Churrasco,Eusébio,179.57,23.0,5.0,Dinheiro,Entregue
12,2026-01-13,23:07,Burger House,Hambúrguer,Eusébio,146.73,42.0,5.0,Cartão de crédito,Entregue
13,2026-06-02,17:33,Cantinho da Massa,Massas,Fortaleza,128.85,22.0,5.0,Pix,Entregue
14,2026-03-29,11:18,Tempero Cearense,Saudável,Eusébio,92.6,61.0,3.0,Cartão de débito,Entregue
15,2026-01-28,23:40,Cantinho da Massa,Massas,Eusébio,44.45,63.0,2.0,Cartão de crédito,Entregue
16,2026-05-06,10:07,Churrasco & Cia,Churrasco,Caucaia,58.31,30.0,5.0,Cartão de crédito,Entregue
17,2026-05-05,23:04,Burger House,Hambúrguer,Eusébio,125.56,50.0,2.0,Pix,Entregue
18,2026-06-05,16:13,Sushi Fortaleza,Sushi,Caucaia,83.84,57.0,3.0,Dinheiro,Entregue
19,2026-04-26,11:15,Sushi Fortaleza,Sushi,Fortaleza,74.09,52.0,5.0,Cartão de débito,Entregue
20,2026-01-02,11:45,Sabor Nordestino,Brasileira,Eusébio,30.78,17.0,3.0,Cartão de crédito,Entregue
21,2026-03-13,20:31,Sushi Fortaleza,Sushi,Eusébio,135.74,51.0,5.0,Dinheiro,Entregue
22,2026-05-02,22:26,Sushi Fortaleza,Sushi,Fortaleza,35.51,42.0,3.0,Dinheiro,Entregue
23,2026-01-14,20:41,Pizza Express,Pizza,Fortaleza,84.42,36.0,1.0,Cartão de débito,Entregue
24,2026-05-18,17:08,Tempero Cearense,Saudável,Eusébio,64.57,30.0,1.0,Dinheiro,Entregue
25,2026-05-21,11:03,Sabor Nordestino,Brasileira,Fortaleza,168.22,69.0,2.0,Cartão de débito,Entregue
26,2026-05-04,13:55,Tempero Cearense,Saudável,Fortaleza,46.34,15.0,4.0,Pix,Entregue
27,2026-04-27,14:27,Açaí Tropical,Açaí,Eusébio,50.38,28.0,1.0,Cartão de crédito,Entregue
